iter	RMSE
0	2.701662507
1	2.561441633
2	2.432648382
3	2.31098545
4	2.203973831
5	2.115366716
6	2.035345628
7	1.969376095
8	1.917818251
9	1.859097202
10	1.808285896
11	1.766136605
12	1.727023085
13	1.694023485
14	1.663511168
15	1.628907021
16	1.605509945
17	1.577193795
18	1.555092056
19	1.530686115
20	1.514579325
21	1.497341267
22	1.485092574
23	1.47216575
24	1.458412902
25	1.444922171
26	1.426182195
27	1.414196233
28	1.407863229
29	1.39263835
30	1.386327161
31	1.375778677
32	1.371563693
33	1.36556562
34	1.361517357
35	1.348236476
36	1.342978377
37	1.339979022
38	1.335626612
39	1.328155523
40	1.318985022
41	1.307474143
42	1.303478241
43	1.299886676
44	1.286020495
45	1.281352995
46	1.268816166
47	1.257868468
48	1.254515988
49	1.250897319
50	1.249305017
51	1.243501996
52	1.235063427
53	1.230578804
54	1.225076263
55	1.219753082
56	1.217467308
57	1.210982038
58	1.208090303
59	1.202596565
60	1.199785986
61	1.193983756
62	1.185272204
63	1.181369741
64	1.177100474
65	1.172149286
66	1.167909969
67	1.162065165
68	1.155399847
69	1.15211664
70	1.148830949
71	1.147120144
72	1.144057168
73	1.138179778
74	1.135690856
75	1.127615334
76	1.123164702
77	1.117732783
78	1.115933365
79	1.114099145
80	1.11200758
81	1.108435851
82	1.101058521
83	1.097799086
84	1.093886974
85	1.08784788
86	1.086394892
87	1.082986604
88	1.078624368
89	1.074333512
90	1.073566104
91	1.071913388
92	1.069618613
93	1.068116483
94	1.066997128
95	1.063482463
96	1.061372678
97	1.060222107
98	1.058495974
99	1.057190912
