iter	Passed	Remaining
0	9	893
1	16	817
2	24	807
3	32	785
4	40	762
5	48	752
6	55	737
7	63	731
8	71	726
9	79	719
10	88	712
11	97	716
12	107	721
13	116	712
14	125	712
15	133	700
16	142	694
17	150	685
18	158	675
19	166	667
20	175	659
21	183	650
22	191	640
23	199	631
24	207	622
25	215	614
26	224	606
27	234	602
28	243	596
29	251	586
30	259	577
31	267	569
32	276	562
33	286	556
34	295	548
35	304	541
36	312	532
37	320	523
38	330	516
39	339	509
40	348	501
41	356	492
42	363	482
43	372	473
44	380	464
45	390	458
46	399	450
47	407	441
48	415	432
49	423	423
50	431	414
51	439	405
52	446	396
53	454	387
54	462	378
55	470	369
56	478	360
57	486	351
58	494	343
59	501	334
60	509	325
61	517	317
62	527	309
63	535	301
64	543	292
65	551	284
66	559	275
67	567	267
68	575	258
69	584	250
70	591	241
71	600	233
72	608	225
73	616	216
74	624	208
75	631	199
76	638	190
77	646	182
78	653	173
79	661	165
80	668	156
81	675	148
82	683	139
83	690	131
84	697	123
85	705	114
86	713	106
87	721	98
88	728	90
89	735	81
90	742	73
91	750	65
92	757	57
93	764	48
94	772	40
95	780	32
96	787	24
97	793	16
98	800	8
99	807	0
